iter	Passed	Remaining
960	3207	130
961	3210	126
962	3213	123
963	3217	120
964	3220	116
965	3223	113
966	3226	110
967	3229	106
968	3233	103
969	3236	100
970	3239	96
971	3242	93
972	3246	90
973	3249	86
974	3252	83
975	3255	80
976	3258	76
977	3262	73
978	3266	70
979	3268	66
980	3271	63
981	3274	60
982	3278	56
983	3281	53
984	3284	50
985	3287	46
986	3290	43
987	3293	40
988	3296	36
989	3299	33
990	3303	29
991	3306	26
992	3309	23
993	3312	19
994	3315	16
995	3318	13
996	3321	9
997	3324	6
998	3328	3
999	3331	0
